date,Blood colour index,Saliva index,Star sign influence index,Insect sting pain resistance index,Midi-chlorian counts,covid infection probability,year of birth
4/1/21,24.53862622,10.2659497,34.80457592,51.92670095,1720.555528,27.38807473,1936
4/1/21,16.66026207,14.83170693,31.491969,64.84875137,1945.874147,48.1884893,1930
4/1/21,8.409131155,-10.71160968,-2.302478522,45.68882042,-148.5838696,37.27968926,1953
4/1/21,13.93592127,6.88258448,20.81850575,46.72829733,905.2665235,32.79237606,1951
4/1/21,20.68328192,-3.633473941,17.04980798,69.37857882,1096.46306,48.6952969,1933
4/1/21,25.37544332,17.79566293,43.17110625,29.0774507,1183.057157,3.702007374,1933
4/1/21,5.304996129,-1.502038046,3.802958083,43.06992868,116.9202466,37.76493255,1977
4/1/21,18.32357531,12.73641917,31.05999448,23.95610433,689.0603695,5.632529026,1971
4/1/21,13.38032358,-0.720809853,12.65951373,27.58677954,308.988921,14.20645596,1946
4/1/21,18.10799928,12.53992391,30.64792319,62.02149577,1808.160619,43.91349649,1940
4/1/21,-2.754016319,-8.482955366,-11.23697169,12.63361461,-143.3602126,15.38763093,1969
4/1/21,19.09356866,12.335238,31.42880665,55.84309445,1667.809917,36.74952579,1947
4/1/21,13.52823126,1.950698261,15.47892952,69.39565499,989.295868,55.86742374,1929
4/1/21,20.28818369,13.05998442,33.34816811,36.73297615,1154.89632,16.44479246,1938
4/1/21,-1.938493837,-6.009057258,-7.947551095,10.54439026,-86.39891956,12.4828841,1939
4/1/21,27.36072882,10.18401864,37.54474746,81.33281947,2934.7426,53.97209065,1934
4/1/21,12.75775582,8.523447295,21.28120312,45.68669945,905.300028,32.92894363,1930
4/1/21,1.389452705,-3.958057031,-2.568604326,23.81312834,-82.41102849,22.42367564,1905
4/1/21,14.57422749,4.616323093,19.19055058,27.4789052,480.6658643,12.90467771,1936
4/1/21,6.776607623,-0.541769868,6.234837754,26.59911634,133.0072207,19.82250871,1964
4/1/21,8.053597144,2.53562286,10.58922,53.24103771,499.9508038,45.18744057,1957
4/1/21,13.95993583,8.366505846,22.32644167,55.59666863,1163.352669,41.6367328,1905
4/1/21,16.29873084,4.702934287,21.00166513,53.26380608,1044.363148,36.96507523,1927
4/1/21,12.03098768,0.485697827,12.51668551,14.46393231,154.0598741,2.432944627,1920
4/1/21,15.59881973,-3.424554258,12.17426548,42.18112652,459.1688404,26.58230679,1909
4/1/21,10.39339318,9.187108111,19.58050129,37.76006516,682.0204382,27.36667198,1957
4/1/21,16.80293317,14.5678318,31.37076497,59.85178292,1786.373667,43.04884974,1955
4/1/21,-12.35215065,-24.45583619,-36.80798684,-0.214128808,44.903766,12.13802184,1907
4/1/21,36.11672529,9.720133905,45.83685919,79.9337154,3538.139883,43.81699011,1936
4/1/21,15.62208213,2.402557103,18.02463924,26.67903872,436.1763701,11.05695659,1918
4/1/21,-7.980037964,-13.60060102,-21.58063898,17.19651954,-366.7277604,25.1765575,1906
4/1/21,15.3742202,3.654783457,19.02900366,56.21714125,994.5100415,40.84292105,1963
4/1/21,12.65649679,14.53635757,27.19285436,73.04697482,1886.115918,60.39047803,1905
4/1/21,21.20270677,13.17134086,34.37404764,16.7483184,524.5851285,-4.454388373,1933
4/1/21,19.84780407,-2.599551616,17.24825245,69.81849428,1117.180268,49.97069021,1938
4/1/21,18.89018795,15.4038546,34.29404254,64.87641833,2125.704189,45.98623038,1963
4/1/21,6.693246147,7.054705473,13.74795162,53.59496054,669.4780125,46.90171439,1972
4/1/21,5.856862639,-10.47606918,-4.619206538,41.27890003,-227.3354584,35.42203739,1912
4/1/21,3.091742267,0.244092398,3.335834665,33.36832572,74.60705729,30.27658346,1906
4/1/21,6.896930209,1.947289074,8.844219283,17.11882516,125.4395991,10.22189495,1951
4/1/21,20.45064183,2.118727517,22.56936934,57.59448493,1219.707348,37.14384311,1911
4/1/21,16.76094349,12.48388112,29.24482461,40.3998098,1111.840717,23.63886631,1931
4/1/21,9.832433239,2.133825061,11.9662583,73.56537014,794.7705926,63.7329369,1943
4/2/21,33.05383987,23.68707386,56.74091374,62.97803293,3453.712187,29.92419305,1971
4/2/21,22.702432,2.768267776,25.47069978,21.25931481,494.7596103,-1.443117192,1935
4/2/21,37.54253427,14.13617131,51.67870558,53.20393482,2644.627843,15.66140055,1925
4/2/21,18.95472006,6.514670767,25.46939082,73.64348631,1776.541857,54.68876625,1930
4/2/21,-1.237567025,-7.165959967,-8.403526993,12.65980506,-110.6432916,13.89737209,1930
4/2/21,13.73882023,10.20988768,23.94870791,53.40070001,1201.528359,39.66187978,1917
4/2/21,14.77069343,15.77891528,30.54960871,17.68271006,491.9675545,2.912016634,1937
4/2/21,2.699352382,1.812703008,4.51205539,22.34317432,73.95841042,19.64382194,1931
4/2/21,28.64996086,19.43845117,48.08841203,97.36449101,4536.650858,68.71453015,1979
4/2/21,12.28810883,1.465356352,13.75346518,44.86006911,558.3678643,32.57196028,1966
4/2/21,4.787491328,0.900980816,5.688472144,16.93045554,73.68949702,12.14296421,1975
4/2/21,13.79816848,15.33046222,29.1286307,19.42060868,517.1464988,5.6224402,1935
4/2/21,1.116928204,-13.6469704,-12.53004219,6.713337687,-78.30169997,5.596409483,1951
4/2/21,-12.84775028,-10.70140649,-23.54915676,22.94473015,-539.7246205,35.79248043,1974
4/2/21,14.60086853,10.77052242,25.37139095,57.45189974,1374.811318,42.8510312,1934
4/2/21,21.67750795,2.508114742,24.1856227,47.94947357,1087.55278,26.27196561,1922
4/2/21,38.69642753,20.91798859,59.61441612,64.04831407,3694.540117,25.35188654,1946
4/2/21,19.31966636,14.81300981,34.13267616,58.65709016,1909.333697,39.3374238,1908
4/2/21,20.09902456,11.68303769,31.78206225,32.18504032,958.9398525,12.08601576,1954
4/2/21,-23.33605915,-24.11108852,-47.44714767,17.525773,-801.6265647,40.86183215,1912
4/2/21,31.65389634,21.61566698,53.26956332,77.09623192,3976.516813,45.44233558,1951
4/2/21,-2.903100402,-9.696845469,-12.59994587,30.98972375,-408.8586196,33.89282415,1926
4/2/21,23.49755939,14.42536813,37.92292751,51.09044018,1848.485692,27.59288079,1938
4/2/21,2.407458614,-7.21333209,-4.805873476,39.14615554,-222.4717527,36.73869692,1907
4/2/21,-6.871252532,-8.244223346,-15.11547588,52.40826598,-829.4686703,59.27951851,1982
4/2/21,5.267038059,2.541086942,7.808125001,35.35227601,232.8745891,30.08523795,1945
4/2/21,28.02472988,5.122043919,33.1467738,79.71548522,2529.448898,51.69075534,1908
4/2/21,-4.097846135,-8.849232898,-12.94707903,3.195132083,-31.61568064,7.292978218,1959
4/2/21,10.50861319,3.649152288,14.15776548,18.69202527,231.7875193,8.183412081,1960
4/2/21,24.5376051,20.34800119,44.88560629,80.80688597,3501.373577,56.26928087,1935
4/2/21,16.6049084,1.148939906,17.7538483,54.106802,888.7433046,37.50189361,1961
4/2/21,15.27753217,6.137396631,21.4149288,12.5985915,235.7844197,-2.678940663,1915
4/2/21,-11.47690046,-17.22051112,-28.69741158,65.37104187,-1912.653324,76.84794233,1914
4/2/21,-2.526878705,-3.303768456,-5.830647161,35.87868399,-239.2439838,38.4055627,1977
4/2/21,1.541429972,-4.17702267,-2.635592698,31.73863714,-112.7531647,30.19720717,1942
4/2/21,18.34153629,10.94717723,29.28871352,46.88970867,1297.160822,28.54817239,1921
4/2/21,33.27765205,12.54412181,45.82177385,97.54708928,4326.411802,64.26943723,1956
4/2/21,20.81773938,4.280523219,25.0982626,29.25839403,679.9782,8.44065465,1980
4/2/21,10.10192478,-2.11548988,7.9864349,14.10564909,90.56176417,4.003724308,1926
4/2/21,14.99369703,12.90132388,27.89502091,39.87746434,1044.610216,24.8837673,1926
4/2/21,7.713144726,-4.218794044,3.494350683,12.08318212,26.64534288,4.37003739,1979
4/2/21,32.72667248,17.36107001,50.0877425,88.34063333,4286.354519,55.61396085,1925
4/2/21,12.71701573,10.30399026,23.02100598,33.6208663,717.3442921,20.90385058,1910
4/3/21,27.63608609,4.135020985,31.77110707,61.72987858,1867.725596,34.09379249,1919
4/3/21,-0.943024945,-3.787916638,-4.730941583,16.205516,-88.14192394,17.14854095,1935
4/3/21,8.176074921,6.062500544,14.23857546,63.40188635,825.1120816,55.22581143,1938
4/3/21,10.15592267,2.851258214,13.00718088,18.8563387,213.4042887,8.700416026,1966
4/3/21,7.840072965,-0.398111745,7.44196122,63.71089363,402.9811448,55.87082066,1967
4/3/21,7.338940644,1.582131889,8.921072532,22.86018255,172.1560916,15.52124191,1977
4/3/21,13.79459362,9.50984293,23.30443655,37.33446533,809.4197767,23.53987171,1969
4/3/21,13.46066243,12.89877039,26.35943281,45.0535799,1116.1738,31.59291747,1957
4/3/21,8.059927693,-2.083387055,5.976540638,30.4199191,145.409423,22.3599914,1925
4/3/21,27.29832227,20.96887627,48.26719854,44.12032024,2037.176738,16.82199797,1975
4/3/21,-17.1554064,-23.35634732,-40.51175372,35.28607042,-1424.274911,52.44147682,1929
4/3/21,13.1843836,3.603189912,16.78757351,73.39328391,1141.914292,60.20890031,1967
4/3/21,16.99206314,0.646785838,17.63884898,39.97051961,647.4245903,22.97845647,1921
4/3/21,-4.678608159,-4.327578674,-9.006186833,39.08573559,-382.092986,43.76434375,1977
4/3/21,8.999538407,1.462374127,10.46191253,47.35737258,437.6294047,38.35783417,1946
4/3/21,2.713300208,5.110197605,7.823497813,19.64841913,126.2474472,16.93511892,1905
4/3/21,3.978752342,-6.923984367,-2.945232025,25.02251211,-95.77438409,21.04375977,1918
4/3/21,6.361455578,-4.042021519,2.319434059,29.40190705,36.4744435,23.04045148,1952
4/3/21,-0.351808804,-5.675785965,-6.027594769,0.52007809,2.372696704,0.871886894,1965
4/3/21,17.35590346,2.671515824,20.02741928,58.33993402,1090.030966,40.98403056,1911
4/3/21,2.594789488,2.265062205,4.859851694,35.27760687,131.3064789,32.68281738,1907
